p,r,w,v,T,d
8,0,20,1,164,249
6,1,25,1,176,402
2,3,25,1,170,342
7,0,25,1,164,336
6,2,23,1,123,390
15,4,23,2,183,117
28,10,22,1,171,329
25,3,24,1,157,489
8,2,25,1,105,292
24,3,18,1,148,143
13,11,19,2,161,43
18,8,25,1,153,221
25,12,21,1,199,514
10,22,22,2,111,445
6,24,21,1,190,434
21,13,25,1,167,183
26,5,24,1,170,299
12,15,22,1,154,349
24,10,18,1,138,461
6,33,19,1,131,266
4,7,21,1,178,379
24,24,20,2,169,387
3,13,25,2,115,266
5,8,20,1,131,277
4,27,24,1,102,221
7,14,24,1,146,569
20,30,24,1,184,534
17,27,19,1,170,321
19,48,21,1,127,203
32,29,25,1,121,379
6,26,21,1,109,489
4,14,18,1,115,252
3,27,21,1,114,308
14,15,22,1,162,50
16,16,20,1,180,363
22,16,23,1,154,286
14,62,24,1,192,388
29,37,25,3,101,373
12,13,25,1,105,421
15,13,22,3,136,461
9,5,21,1,143,259
34,5,20,1,135,197
17,42,22,1,179,223
13,31,24,1,157,317
12,5,25,1,155,278
13,15,19,1,198,368
14,21,22,1,164,347
27,40,23,1,130,450
22,48,21,1,142,122
23,11,19,1,171,329
5,43,20,1,111,497
1,58,21,1,156,232
9,59,21,1,152,228
7,38,23,2,134,421
4,39,21,2,126,369
15,55,20,2,108,349
9,96,24,1,167,320
15,7,19,1,197,416
20,13,24,1,161,105
18,34,21,1,142,148
26,43,21,1,190,582
15,35,24,1,174,422
28,28,19,2,107,349
21,108,22,1,120,491
11,73,24,1,133,632
20,15,25,1,147,264
2,30,19,1,168,472
23,77,21,1,113,283
13,39,18,1,125,237
15,8,20,1,101,169
9,40,22,1,201,386
19,61,22,2,171,363
12,16,18,2,167,535
5,17,18,1,173,389
20,127,18,1,160,571
17,75,21,1,153,273
21,65,23,2,175,398
12,88,20,2,176,442
33,9,19,1,153,306
16,18,22,1,107,485
35,27,23,2,113,352
8,58,25,1,147,118
25,70,24,1,142,529
30,71,21,1,153,295
19,144,25,1,131,429
9,85,23,1,182,408
6,86,22,1,121,296
3,10,23,1,104,227
13,63,23,1,116,86
8,41,20,1,126,409
18,103,18,1,179,527
12,91,20,1,144,320
31,11,22,1,196,639
14,66,25,2,150,131
13,108,21,1,148,207
24,163,22,1,139,461
13,96,24,1,102,250
17,69,21,1,143,416
14,168,19,1,169,414
5,113,23,2,102,335
12,86,19,2,110,246
6,87,23,1,186,172
14,47,23,2,160,468
13,12,20,1,192,252
2,89,20,1,192,404
6,24,21,2,112,392
3,76,24,1,146,344
11,61,19,1,168,115
13,37,21,2,163,361
17,78,25,1,109,351
8,110,18,1,100,314
19,127,24,1,188,198
9,64,18,1,117,203
16,81,24,1,192,584
33,65,22,1,167,526
20,53,22,1,136,212
7,40,20,1,147,204
6,100,25,1,124,121
11,101,25,1,100,385
24,14,18,1,118,345
12,137,21,1,105,313
29,121,22,2,123,219
15,42,19,1,162,568
6,28,19,1,148,329
31,106,21,1,185,406
7,107,21,4,133,359
10,29,21,1,194,146
18,145,20,1,198,601
17,59,23,4,118,393
13,44,24,2,135,305
14,74,22,1,130,315
14,225,18,1,196,576
6,132,25,4,153,641
15,30,21,1,119,369
9,77,18,1,132,179
10,232,23,1,198,507
13,78,22,1,146,552
9,31,25,1,169,506
8,63,20,1,194,489
24,64,25,1,194,327
2,48,24,1,123,483
25,101,25,1,132,339
21,142,22,1,111,378
4,245,21,1,193,737
14,33,20,1,136,375
16,104,25,1,103,385
5,33,25,2,133,300
6,84,25,1,168,223
4,169,22,1,189,605
4,17,23,1,122,480
27,150,22,2,114,334
26,69,18,1,135,442
7,52,18,1,100,258
8,263,19,1,165,742
18,110,20,1,105,454
9,89,19,1,150,371
5,112,22,1,197,374
3,90,20,1,175,382
16,18,21,1,168,168
25,273,25,1,151,430
18,137,22,2,167,482
12,115,25,1,148,516
10,185,22,1,167,337
25,75,25,1,139,407
