p,r,w,v,T,d
12,0,16,1,21,125
16,1,7,4,54,85
24,1,9,1,52,209
16,2,18,4,44,28
17,2,16,3,95,50
21,2,13,3,59,121
13,3,24,4,89,36
14,1,6,1,83,178
8,9,18,4,26,216
20,8,19,4,76,137
19,2,16,1,21,200
14,4,23,3,95,63
9,19,20,1,5,52
9,9,13,1,33,112
14,13,8,4,40,142
9,20,20,4,29,135
18,43,8,2,80,210
8,19,18,2,67,82
20,16,12,2,7,131
16,17,18,3,76,232
17,27,11,3,25,118
20,57,10,2,16,190
18,25,15,3,87,143
15,26,6,3,83,218
13,22,17,2,63,184
14,39,17,3,55,142
10,19,12,3,94,87
3,73,18,3,34,215
12,20,24,3,16,164
24,78,19,3,51,232
20,16,11,1,97,71
15,28,11,2,65,171
7,86,17,3,36,198
16,37,12,3,87,201
10,38,17,4,55,182
7,13,24,2,94,110
10,40,20,2,99,96
18,27,22,1,64,141
9,7,15,3,54,216
18,70,13,1,72,163
13,29,17,3,54,148
6,29,18,2,10,125
18,47,6,4,38,183
9,39,22,1,2,101
15,69,11,2,92,170
27,71,24,1,73,162
13,83,6,2,73,159
19,17,16,4,92,191
11,26,25,3,59,136
15,88,16,4,72,200
16,90,10,2,7,213
20,46,22,3,14,201
15,58,7,1,35,112
14,19,19,1,98,194
14,97,8,1,70,225
13,148,8,1,1,251
18,30,10,4,69,185
20,10,8,4,48,125
15,10,22,3,4,140
19,42,24,2,8,118
24,162,17,3,26,317
12,44,13,1,63,210
20,11,5,2,86,136
16,11,15,2,55,155
11,115,19,4,13,189
14,117,20,2,17,245
15,119,15,1,5,173
9,105,14,3,34,159
12,61,22,4,32,161
21,93,23,2,29,222
7,110,5,4,61,172
8,112,6,3,76,227
19,97,21,1,37,242
5,98,9,3,39,223
13,27,10,4,92,198
22,27,17,2,26,131
20,27,13,1,31,99
11,28,12,1,43,107
19,140,18,3,86,219
14,71,7,1,33,166
20,43,21,2,13,149
19,15,14,4,14,149
17,221,25,3,34,363
15,45,20,3,88,132
10,151,21,4,85,268
15,95,14,3,97,261
18,97,20,4,42,220
10,63,25,4,90,183
16,237,5,3,41,285
10,16,14,4,42,158
11,81,23,3,86,192
20,102,7,2,18,155
18,50,17,4,42,176
14,50,25,2,94,223
17,148,23,1,87,221
10,128,10,1,98,242
22,108,11,2,29,258
19,70,18,3,33,142
12,264,8,4,4,319
15,36,15,3,33,129
21,157,6,4,82,324
10,36,17,4,11,180
17,183,10,3,81,209
14,74,5,1,68,190
19,140,9,1,25,243
26,142,16,1,42,299
21,167,5,1,42,306
17,192,12,2,74,283
21,39,14,2,55,123
18,122,6,2,11,256
7,124,15,2,73,152
18,80,11,1,29,105
14,20,23,2,83,145
19,178,5,2,21,378
8,20,12,4,58,126
12,21,15,4,25,107
14,42,10,1,79,128
25,158,8,3,28,316
16,186,11,2,48,290
7,21,9,2,71,134
11,323,21,2,68,391
7,326,20,4,23,448
21,329,17,4,99,360
17,88,9,2,14,145
15,139,22,3,90,286
15,140,6,1,23,297
13,226,15,2,71,379
11,68,24,2,22,187
14,345,12,3,96,498
11,93,25,3,62,192
13,117,16,3,38,231
20,94,19,2,17,213
18,24,5,4,56,62
10,120,15,2,60,196
11,72,20,4,58,161
22,182,23,2,73,277
15,73,15,2,11,206
20,74,8,4,26,160
22,217,13,3,85,341
25,375,20,1,92,434
20,189,19,4,39,317
18,380,17,4,14,524
8,383,14,2,20,534
12,128,14,3,78,220
9,194,23,3,78,326
15,52,17,1,93,152
23,52,24,1,96,178
7,132,18,4,16,251
2,399,12,2,27,508
14,234,17,1,13,406
18,27,10,3,51,157
18,109,19,2,87,252
6,410,24,3,54,535
25,241,25,4,95,388
9,277,14,4,14,392
15,418,24,4,31,554
10,210,5,1,70,300
19,176,21,4,100,317
17,114,19,4,54,157
10,86,22,2,73,280
3,252,7,1,29,368
15,181,8,2,16,284
18,87,24,3,51,221
16,29,23,4,89,129
10,221,12,2,65,349
20,119,19,1,29,263
29,224,18,3,15,357
5,300,13,1,64,453
19,226,7,1,80,349
8,61,22,2,91,185
23,267,19,1,85,381
20,123,25,3,14,265
17,31,8,3,25,110
18,62,20,1,91,130
14,235,7,4,12,380
15,472,19,2,28,590
7,158,21,3,80,211
11,199,7,1,43,340
14,32,10,2,27,155
16,241,22,3,24,460
16,162,13,1,21,337
20,325,13,1,65,461
21,327,25,3,48,376
18,247,18,2,96,359
21,66,15,2,11,157
17,332,17,3,4,459
12,100,17,2,49,220
13,294,9,1,91,380
12,296,7,2,87,360
7,68,23,4,74,151
15,213,24,3,47,336
15,172,11,1,4,318
15,35,7,3,15,146
18,173,5,3,77,314
4,35,23,4,57,148
18,263,15,2,44,331
12,106,19,4,30,214
5,310,10,1,32,455
20,311,23,3,82,472
25,179,13,3,59,386
