p,r,w,v,T,d
3,0,17,3,149,26
7,0,6,4,86,16
8,0,23,3,146,30
2,1,22,4,90,27
10,1,8,3,102,24
3,2,12,4,65,71
8,4,25,2,90,74
10,3,16,3,138,52
5,1,25,2,131,18
4,2,24,4,102,38
3,4,18,3,74,48
2,2,21,2,63,66
3,5,24,2,90,38
2,2,19,1,74,19
4,2,14,1,179,58
6,1,5,1,76,46
9,2,21,2,147,44
5,11,24,3,96,58
1,6,5,4,56,38
1,2,7,3,89,48
5,3,11,1,75,51
2,3,23,3,38,70
1,6,9,1,164,26
4,15,12,4,90,77
8,1,14,4,114,45
3,3,24,4,58,46
6,1,17,4,114,66
6,12,11,2,86,85
5,6,25,4,104,73
3,5,15,3,46,61
4,6,17,4,95,35
1,7,5,1,78,54
5,7,15,1,95,59
6,4,18,3,119,37
1,11,24,3,84,46
7,3,16,2,141,50
6,5,20,4,132,58
5,5,5,1,96,24
10,12,7,4,84,56
10,15,12,4,104,76
4,13,21,1,123,66
3,11,19,3,117,76
1,27,20,2,99,65
6,4,25,2,162,57
3,8,9,1,105,20
4,4,20,3,134,58
4,17,18,4,133,51
8,20,21,1,69,58
6,13,24,4,103,58
7,11,10,3,122,69
10,16,6,2,110,77
6,19,14,2,116,68
5,7,5,3,97,64
4,20,21,4,149,66
2,15,13,2,108,56
7,18,15,1,67,72
3,12,16,1,145,51
5,2,20,2,124,28
2,5,16,2,81,52
9,5,13,1,96,53
9,10,21,1,97,42
4,8,21,2,57,82
4,5,8,4,72,51
10,8,12,1,176,24
6,28,5,2,133,74
3,21,17,4,163,81
3,43,7,3,138,93
5,3,16,4,176,49
5,29,24,3,104,89
2,15,22,1,44,62
6,45,18,3,48,79
6,19,18,4,105,71
1,16,17,1,130,68
8,9,25,4,96,38
7,24,23,4,108,55
3,28,20,3,150,64
5,16,24,2,88,63
10,21,15,3,79,64
3,7,23,1,174,53
8,21,22,4,59,46
9,7,9,3,118,56
8,31,23,1,116,49
9,7,17,1,91,28
8,4,25,2,105,48
3,32,19,1,115,41
3,55,5,3,164,84
5,4,12,3,164,48
3,28,9,4,170,46
6,4,15,4,117,52
6,19,17,3,73,33
4,58,13,2,93,123
3,8,23,3,129,29
3,35,16,3,155,82
10,35,13,4,85,51
9,61,9,4,81,93
4,4,21,1,145,40
6,12,8,2,119,86
10,26,9,4,77,80
5,4,9,2,101,20
6,32,6,2,67,86
6,22,16,4,56,92
1,4,5,4,101,34
9,9,8,4,81,81
7,33,5,3,94,77
10,4,12,1,115,45
7,18,16,1,61,90
6,9,11,1,118,89
2,40,22,3,181,58
2,47,12,1,148,88
10,5,12,1,78,47
2,5,25,2,112,67
8,19,21,4,117,92
5,19,9,4,69,48
8,15,17,4,63,29
1,20,5,2,84,81
1,37,17,1,132,94
7,37,6,4,75,112
9,76,18,1,96,105
9,38,19,3,119,83
3,51,23,3,128,96
8,78,12,4,141,105
3,52,16,4,124,99
1,11,13,3,119,42
1,79,20,1,57,118
3,53,19,1,129,104
8,47,15,3,73,65
2,34,16,1,124,84
3,41,9,1,85,61
6,6,19,3,138,49
1,56,9,1,83,98
2,49,25,1,73,81
9,23,23,2,24,104
2,17,25,1,69,36
8,17,11,2,94,73
7,6,12,2,111,49
10,36,19,1,118,85
2,12,18,4,108,82
8,52,9,1,118,83
4,52,21,3,111,94
3,37,25,2,66,86
8,90,21,4,60,161
2,24,21,2,104,89
9,38,21,3,104,73
5,12,5,4,120,56
8,31,17,2,144,80
9,39,18,1,108,59
5,63,22,3,127,75
3,95,18,3,120,154
7,96,22,4,69,138
4,40,19,3,135,83
5,57,11,1,84,77
4,41,23,3,113,96
2,7,6,1,95,42
4,58,23,4,125,108
9,33,8,4,70,105
5,33,8,4,111,62
9,20,21,2,47,76
10,101,21,1,59,147
3,60,9,4,78,71
6,27,23,2,78,74
8,43,23,1,72,101
10,69,14,3,127,112
3,70,16,4,90,90
9,105,17,2,108,134
2,44,22,1,76,88
9,28,5,3,72,45
1,36,23,2,71,66
7,72,25,1,156,120
6,54,13,2,109,91
9,46,18,1,127,128
7,73,14,1,151,153
8,64,25,4,96,121
3,37,5,4,114,50
10,30,19,3,87,78
1,112,25,4,99,131
8,30,20,3,64,60
2,114,11,1,97,133
8,57,19,1,82,82
4,31,5,2,76,46
2,15,8,2,104,42
9,16,11,4,79,102
6,49,11,4,107,89
5,78,19,3,84,128
9,39,16,3,120,73
4,32,14,2,95,68
2,60,7,1,116,84
8,24,15,3,133,64
2,60,23,2,77,68
1,40,12,2,109,76
2,16,20,3,81,77
9,123,6,3,48,156
8,33,20,1,91,95
1,83,24,3,94,129
8,52,11,4,156,65
9,8,17,3,42,45
5,84,18,4,99,155
10,8,13,1,67,62
3,25,19,3,34,66
7,17,24,3,71,58
10,129,11,2,119,186
