p,r,w,v,T,d
3,0,7,3,28,127
7,1,7,2,3,102
12,2,21,3,17,159
11,0,9,4,15,91
8,2,10,1,16,84
17,3,19,1,12,139
15,4,20,2,15,151
19,2,7,1,27,221
21,1,16,2,24,100
19,4,11,3,17,190
17,4,17,3,21,64
9,20,16,1,25,211
22,4,14,3,9,166
16,24,15,1,15,124
16,2,7,3,4,90
17,18,23,1,19,114
15,12,16,4,9,193
20,8,8,3,24,173
17,11,19,4,4,161
10,5,16,4,26,22
9,21,10,2,7,209
26,38,6,1,20,274
12,5,12,4,27,150
17,6,21,4,15,101
27,26,14,2,25,73
23,12,9,4,19,112
18,24,11,4,14,157
21,29,10,1,21,64
14,26,5,3,14,161
21,18,20,3,12,134
12,15,9,3,17,101
17,11,20,3,28,158
15,12,22,3,12,67
8,4,14,4,4,145
14,31,9,3,30,174
17,43,18,3,3,184
19,18,6,3,11,105
16,28,10,1,6,81
22,18,20,3,19,164
17,14,25,4,6,90
18,10,21,4,29,114
14,37,18,4,27,111
17,45,8,4,5,162
16,26,14,1,2,190
3,5,15,1,24,171
20,55,6,2,7,199
15,11,20,2,20,144
14,50,15,2,1,212
10,51,8,1,22,129
20,37,24,3,6,144
12,6,18,3,7,130
8,12,14,1,18,193
12,40,21,2,9,149
18,97,15,4,21,246
10,98,18,4,6,166
11,59,13,4,16,169
6,20,24,4,13,134
15,28,17,1,23,163
19,44,12,2,1,211
21,54,13,4,7,223
15,36,5,2,19,122
20,56,10,2,12,133
13,15,10,3,13,196
19,77,11,3,19,161
7,8,24,2,13,92
10,69,16,3,25,194
18,8,14,4,23,62
15,61,5,2,2,111
12,25,11,1,1,175
8,17,18,2,21,164
19,74,18,2,27,159
9,86,6,3,11,277
13,131,16,4,23,267
18,78,13,1,6,170
19,9,20,3,6,102
9,68,9,4,6,133
13,46,20,4,5,71
15,59,8,1,19,201
16,142,13,2,14,292
29,38,7,1,13,228
13,146,18,1,11,270
20,74,24,3,24,170
15,20,14,1,27,176
19,101,15,4,10,245
8,51,5,2,4,170
22,10,18,3,6,70
12,52,25,1,1,102
20,42,6,3,30,127
15,107,13,2,17,177
19,43,25,2,12,196
13,82,8,2,26,196
18,111,12,4,20,232
13,56,23,1,23,176
10,11,22,1,23,218
13,11,16,2,14,171
17,12,12,2,27,172
24,35,22,2,28,183
13,24,9,2,17,193
20,12,13,1,20,156
12,12,25,2,28,162
11,24,14,1,1,138
15,92,8,1,26,215
13,78,25,3,11,130
17,63,24,4,26,216
20,190,9,4,12,332
8,64,19,1,22,189
13,64,16,1,16,176
17,195,18,4,14,326
13,131,8,2,15,212
20,83,7,2,4,131
13,54,16,3,22,215
24,135,21,1,14,304
7,41,10,1,30,185
16,120,12,3,13,192
17,28,5,4,25,186
20,140,12,1,10,303
18,106,9,1,1,274
20,89,23,4,10,151
21,215,12,2,10,371
5,109,8,1,13,243
8,91,16,4,18,181
15,74,6,1,29,239
17,148,10,2,12,276
22,93,14,1,24,249
18,60,15,2,17,150
25,114,5,1,14,145
13,31,15,3,28,167
20,15,14,2,28,73
20,136,11,4,23,373
24,98,24,1,7,193
20,99,22,1,7,304
11,100,7,1,29,245
15,32,17,2,30,123
17,121,16,1,24,251
8,49,24,2,19,209
19,49,19,1,1,142
6,145,22,4,14,203
18,250,13,2,9,388
20,126,24,3,1,246
14,169,22,3,20,347
8,128,18,3,14,302
18,69,23,1,10,247
23,108,17,2,22,194
5,35,25,1,13,226
20,18,21,3,1,216
10,88,13,3,23,263
15,266,7,3,21,442
10,89,19,2,29,115
21,18,20,1,19,139
21,54,17,4,10,81
22,182,22,4,23,405
16,115,18,4,9,240
21,277,22,4,22,383
14,140,10,4,25,266
11,37,5,1,23,103
11,19,14,1,29,56
19,190,15,3,20,216
14,167,15,1,10,294
10,168,15,2,25,256
18,77,11,2,8,254
6,195,16,2,1,334
16,294,24,1,27,500
17,148,19,4,21,296
19,124,20,2,11,150
14,174,12,2,18,220
11,60,6,1,29,81
12,177,15,3,4,255
16,102,16,3,29,249
10,20,9,3,4,140
15,82,7,1,2,164
10,62,20,3,11,166
19,83,17,1,24,137
11,21,19,2,19,227
4,158,14,2,5,271
15,132,22,4,9,253
20,106,8,2,8,260
12,64,5,2,25,159
13,323,7,1,29,515
17,189,17,4,15,367
16,87,10,4,3,229
13,88,19,4,12,212
19,220,20,3,15,348
18,221,24,1,15,347
18,67,24,3,28,204
23,336,23,1,28,457
12,225,23,3,19,289
10,170,18,1,10,268
10,227,5,2,24,426
11,343,23,2,25,363
7,69,23,2,25,106
16,116,16,3,8,275
17,70,17,1,12,190
12,93,24,1,17,210
18,147,6,4,22,228
9,147,8,2,14,175
23,47,17,4,10,252
16,209,5,3,22,333
15,210,18,3,15,295
13,72,6,2,18,162
14,363,15,2,11,445
