p,r,w,v,T,d
6,0,25,2,76,71
8,0,9,2,109,59
10,1,5,3,60,57
1,1,19,4,108,60
6,2,13,1,119,49
3,1,6,4,101,55
5,1,20,1,78,43
5,2,14,2,67,52
6,2,21,3,87,50
1,2,20,3,172,62
2,5,22,1,103,28
3,2,24,4,50,42
5,1,20,1,61,84
4,4,20,1,126,37
8,1,8,4,58,53
3,5,10,1,83,47
2,2,9,3,139,74
2,2,15,2,91,63
3,1,12,3,39,39
3,9,18,1,107,35
10,5,11,4,126,70
3,4,7,4,57,59
4,2,10,1,161,57
1,8,19,3,122,23
1,17,6,2,142,68
7,1,21,4,123,49
10,8,12,1,23,76
7,19,13,4,50,78
10,3,5,1,106,48
4,5,19,3,94,27
5,21,11,1,70,64
8,13,22,4,72,100
7,15,16,1,59,52
10,2,24,1,129,54
5,3,13,3,97,43
2,5,14,2,60,53
3,15,8,4,61,39
2,9,24,3,49,45
2,11,21,1,72,38
9,2,19,1,73,36
7,12,18,4,75,80
7,14,6,4,93,60
9,20,7,3,132,67
9,6,24,1,66,57
10,21,7,4,105,84
2,13,15,2,93,30
6,14,22,1,120,83
5,33,25,3,109,83
3,14,16,3,143,52
3,2,18,2,142,59
6,7,13,2,132,50
10,10,22,4,121,65
9,2,19,1,114,33
10,37,8,2,91,98
9,13,8,4,127,82
3,8,14,4,150,52
2,23,11,1,74,75
10,40,22,1,127,75
10,41,24,1,104,96
7,21,17,3,88,43
10,21,13,2,86,49
6,14,5,2,77,55
10,6,15,3,98,58
10,12,19,3,107,44
8,23,15,1,91,73
8,12,15,2,109,69
8,12,14,3,109,67
3,9,9,2,121,74
8,16,23,3,102,56
8,16,5,2,159,44
4,16,6,2,28,47
6,21,21,1,126,50
3,7,11,1,82,42
10,21,10,2,76,65
5,22,17,3,98,72
5,35,15,2,91,89
6,36,12,3,134,70
7,27,22,3,66,76
2,18,23,2,98,79
9,33,21,4,112,83
1,19,15,3,73,63
10,8,12,4,77,31
8,24,13,4,53,84
2,20,21,4,122,61
6,25,14,1,104,44
10,60,20,1,123,113
2,40,25,1,116,104
1,8,5,1,31,31
1,12,14,1,122,54
10,26,13,4,75,86
8,21,7,4,133,50
1,32,17,3,110,50
7,43,7,4,120,81
10,13,17,2,154,80
9,18,6,1,97,79
10,67,19,1,119,86
5,14,10,2,127,59
8,40,7,2,86,81
10,46,5,4,115,108
6,5,22,2,124,57
8,5,18,4,67,42
10,42,24,2,168,77
7,10,25,4,80,62
6,10,23,3,125,24
2,43,23,2,132,52
3,37,5,3,107,84
10,37,12,1,51,118
5,10,10,4,154,54
5,10,23,2,95,44
7,5,19,3,73,40
5,52,6,4,111,109
4,46,15,1,122,84
4,5,10,2,89,51
2,21,7,3,67,45
1,21,22,2,48,67
1,11,16,1,103,22
4,11,24,3,99,31
8,22,24,3,105,82
10,28,14,1,109,94
10,17,20,2,44,82
8,28,7,1,131,78
10,28,6,2,72,93
10,6,5,4,118,51
10,58,20,2,66,108
1,23,6,2,137,63
1,59,16,3,30,68
5,89,11,2,77,120
3,30,22,2,106,63
3,6,21,4,97,38
10,61,16,4,52,117
4,54,12,1,57,84
1,39,11,4,30,80
10,12,10,2,123,35
10,13,8,3,138,66
2,25,24,1,88,77
9,19,11,1,122,84
2,19,15,2,111,52
9,40,13,1,90,97
10,65,20,1,155,108
5,65,7,2,65,110
1,49,17,2,114,94
2,20,14,4,111,64
5,58,7,1,102,125
4,59,18,1,97,107
5,34,14,4,101,88
3,43,24,1,62,93
10,52,18,4,71,110
5,69,12,1,137,116
10,61,17,1,103,119
8,14,10,2,92,53
10,21,19,4,113,79
10,28,10,1,105,48
10,107,11,1,81,189
7,108,14,1,55,159
7,45,24,1,122,86
4,22,11,1,67,72
9,110,21,2,86,152
5,30,19,3,59,81
9,37,20,3,83,95
7,37,10,3,141,85
2,8,14,4,88,68
4,38,17,4,88,83
10,23,17,1,93,78
4,8,17,1,93,48
7,58,8,3,83,113
8,23,18,2,95,56
7,23,22,3,118,49
5,8,12,4,99,65
10,24,6,3,135,74
6,70,15,3,75,94
7,120,16,3,64,178
8,60,12,1,100,111
6,121,15,4,120,207
1,122,10,4,85,185
4,123,9,3,124,172
2,123,11,1,77,136
2,62,14,2,103,101
2,8,7,1,100,38
10,63,12,4,77,116
4,17,20,3,68,63
7,17,16,2,102,53
10,43,24,4,89,73
4,128,23,2,102,162
9,75,18,4,192,126
9,9,12,4,109,70
8,35,12,2,129,81
1,131,9,1,83,180
6,77,11,3,50,126
3,88,5,1,87,111
9,133,19,3,106,180
2,67,25,4,161,124
6,56,7,1,81,117
1,36,6,4,109,108
2,9,23,2,65,61
3,80,15,1,63,132
8,57,20,2,128,120
5,28,20,1,178,67
2,9,17,1,95,43
9,70,13,2,39,138
3,37,16,4,141,81
