p,r,w,v,T,d
25,0,16,4,21,137
13,0,7,3,54,81
9,1,9,1,52,193
9,1,18,4,44,20
13,1,16,4,95,45
18,1,13,3,59,116
18,2,24,2,89,40
11,1,6,1,83,174
11,6,18,3,26,215
8,5,19,3,76,121
19,1,16,1,21,198
9,3,23,2,95,57
21,13,20,3,5,58
10,6,13,1,33,110
23,8,8,3,40,146
11,13,20,2,29,130
13,29,8,2,80,190
12,13,18,2,67,79
2,11,12,2,7,107
14,11,18,1,76,223
21,18,11,1,25,113
15,38,10,1,16,165
9,16,15,2,87,125
15,17,6,2,83,209
13,14,17,3,63,176
11,26,17,1,55,126
10,12,12,2,94,80
32,48,18,2,34,219
13,13,24,1,16,158
3,52,19,3,51,185
23,11,11,1,97,69
18,18,11,3,65,163
15,57,17,1,36,176
19,25,12,1,87,191
13,25,17,1,55,171
23,8,24,4,94,121
6,27,20,2,99,79
16,18,22,2,64,129
16,5,15,4,54,220
23,47,13,1,72,145
17,19,17,2,54,141
21,20,18,2,10,131
22,31,6,4,38,170
12,26,22,3,2,91
18,46,11,1,92,150
7,47,24,1,73,117
17,55,6,4,73,135
6,11,16,2,92,171
22,17,25,3,59,138
13,58,16,1,72,168
24,60,10,2,7,190
13,30,22,1,14,178
12,39,7,2,35,90
16,13,19,4,98,190
13,64,8,3,70,191
14,98,8,3,1,202
15,20,10,2,69,171
13,7,8,2,48,115
14,7,22,2,4,136
15,28,24,1,8,100
9,107,17,4,26,246
16,29,13,3,63,198
13,7,5,3,86,124
9,8,15,1,55,144
26,76,19,1,13,165
5,78,20,3,17,196
23,79,15,4,5,141
8,70,14,3,34,123
9,41,22,2,32,138
15,62,23,1,29,184
12,73,5,2,61,140
16,74,6,4,76,197
18,64,21,3,37,207
13,65,9,4,39,198
14,18,10,1,92,189
20,18,17,2,26,120
17,18,13,4,31,87
5,18,12,4,43,90
16,93,18,1,86,168
10,47,7,1,33,138
8,29,21,1,13,123
9,10,14,2,14,133
14,147,25,1,34,286
13,30,20,3,88,115
9,100,21,2,85,216
14,63,14,4,97,228
11,64,20,4,42,179
18,41,25,2,90,169
18,157,5,2,41,207
21,11,14,2,42,164
11,54,23,3,86,165
18,68,7,4,18,119
18,33,17,2,42,159
20,33,25,2,94,211
14,98,23,2,87,168
12,85,10,1,98,200
23,72,11,3,29,222
16,46,18,3,33,115
14,175,8,3,4,231
14,24,15,3,33,116
18,104,6,1,82,267
27,24,17,4,11,184
19,122,10,1,81,150
15,49,5,2,68,165
7,93,9,1,25,184
9,94,16,3,42,234
12,111,5,2,42,240
18,128,12,3,74,220
22,26,14,4,55,111
15,81,6,3,11,211
11,82,15,4,73,114
18,53,11,4,29,78
23,13,23,2,83,147
8,118,5,2,21,306
15,14,12,3,58,127
28,14,15,3,25,116
20,28,10,3,79,120
15,105,8,2,28,253
10,123,11,1,48,220
15,14,9,4,71,135
26,215,21,3,68,298
17,216,20,3,23,347
14,218,17,2,99,242
16,59,9,3,14,115
17,92,22,2,90,240
18,93,6,4,23,252
15,150,15,3,71,304
12,45,24,3,22,164
13,229,12,2,96,381
12,62,25,3,62,162
22,78,16,2,38,201
13,62,19,2,17,174
16,16,5,1,56,52
13,79,15,4,60,158
20,48,20,1,58,145
27,121,23,2,73,221
16,49,15,1,11,182
8,49,8,1,26,123
19,144,13,1,85,264
4,249,20,4,92,287
9,125,19,2,39,242
12,252,17,3,14,390
19,254,14,2,20,415
17,85,14,2,78,182
12,129,23,3,78,264
17,35,17,2,93,137
14,35,24,2,96,151
8,88,18,4,16,208
17,265,12,4,27,389
18,155,17,4,13,330
17,18,10,1,51,146
15,72,19,2,87,211
16,272,24,1,54,406
16,160,25,4,95,297
9,184,14,3,14,298
9,277,24,3,31,406
16,140,5,2,70,235
20,117,21,4,100,258
9,75,19,2,54,110
13,57,22,1,73,253
17,167,7,1,29,296
17,120,8,1,16,224
14,58,24,1,51,188
16,19,23,2,89,119
26,147,12,1,65,291
19,79,19,3,29,221
23,148,18,4,15,275
21,199,13,1,64,367
9,150,7,3,80,262
12,40,22,3,91,167
15,177,19,1,85,283
16,82,25,1,14,219
13,21,8,2,25,96
7,41,20,1,91,97
19,156,7,4,12,306
21,313,19,2,28,436
13,105,21,1,80,164
11,132,7,4,43,273
18,21,10,3,27,147
6,160,22,3,24,368
10,107,13,4,21,275
21,216,13,3,65,352
7,217,25,3,48,252
14,164,18,3,96,271
13,44,15,4,11,127
10,221,17,1,4,340
13,67,17,2,49,187
17,195,9,2,91,285
26,196,7,4,87,274
14,45,23,2,74,135
14,142,24,4,47,263
15,114,11,4,4,260
8,23,7,4,15,127
16,115,5,1,77,254
12,23,23,1,57,143
17,174,15,3,44,241
23,70,19,2,30,188
15,206,10,2,32,360
11,207,23,1,82,359
10,119,13,2,59,310
