p,r,w,v,T,d
14,0,9,4,74,45
23,0,6,1,100,32
16,0,23,4,54,45
11,0,7,3,46,42
8,0,8,3,11,26
4,4,12,1,51,96
16,4,25,1,45,101
17,6,20,3,83,74
12,8,13,2,34,36
16,1,24,4,62,59
22,3,18,3,93,79
10,6,21,1,57,98
5,10,24,4,72,54
16,3,7,4,10,39
17,12,18,2,26,97
13,26,7,1,52,90
15,27,21,3,35,86
17,6,6,3,94,79
15,4,11,4,56,59
11,7,7,3,1,78
17,20,7,1,98,93
6,36,20,2,58,129
17,3,25,1,64,45
19,8,7,1,89,104
14,3,20,2,19,65
5,6,13,4,16,64
8,12,5,2,32,98
2,12,18,4,44,102
8,3,13,3,32,94
8,29,15,2,12,107
11,26,12,3,93,70
12,35,19,2,77,107
9,27,22,4,86,98
4,4,16,3,98,44
20,12,8,2,43,77
16,30,25,2,91,99
17,41,16,3,34,120
15,13,15,4,42,46
15,17,19,3,64,77
22,67,19,4,75,156
17,29,7,3,66,111
21,19,19,2,10,122
18,48,20,1,3,115
20,43,16,4,95,125
23,50,9,1,79,84
17,26,20,1,40,109
14,21,18,4,12,75
18,27,21,1,9,85
4,16,24,4,87,71
9,17,17,4,30,93
17,23,6,4,1,107
2,87,14,4,52,145
9,37,5,3,19,114
3,18,21,2,23,76
20,12,8,4,25,84
9,31,15,2,14,102
15,56,10,1,5,119
11,20,25,3,37,59
15,20,5,1,63,94
19,13,10,2,55,84
8,60,5,1,57,98
11,28,13,2,22,132
18,21,8,1,19,94
17,45,17,2,59,68
18,55,18,2,66,125
10,74,16,4,39,159
16,75,21,1,88,153
8,115,18,2,18,177
20,117,16,2,26,210
9,79,11,2,70,147
21,60,5,2,63,118
18,61,9,1,64,140
13,33,21,4,1,113
6,42,20,4,48,76
16,53,9,4,2,100
7,129,24,1,93,179
10,54,19,4,41,119
15,35,23,1,20,94
5,36,14,1,45,98
10,18,22,4,67,50
24,18,21,2,77,94
14,139,13,2,7,166
17,9,16,4,46,42
15,19,22,1,48,82
7,48,10,4,30,61
26,49,25,4,59,109
17,10,8,2,19,78
20,20,5,4,26,59
19,50,7,4,98,125
23,89,13,3,68,122
16,64,9,1,92,161
14,78,13,2,51,116
9,53,6,1,26,121
15,21,5,3,15,42
20,11,25,1,84,61
13,11,22,3,63,66
9,11,11,3,79,110
14,55,13,3,89,127
9,70,16,4,42,93
12,71,18,3,48,146
22,11,25,4,81,118
19,46,14,1,26,104
16,73,22,2,8,173
20,35,23,2,32,104
9,12,10,4,23,62
10,105,17,2,56,201
10,12,5,3,65,121
11,107,19,2,50,139
14,108,10,2,36,173
13,12,16,1,20,68
13,110,6,2,32,203
17,95,6,2,63,198
22,26,6,2,1,80
14,129,19,3,63,149
4,130,6,4,14,214
18,39,18,2,96,131
15,133,17,2,19,238
21,27,10,1,57,74
17,54,10,3,78,119
18,68,23,4,73,142
10,120,13,4,57,155
21,86,21,3,59,165
22,140,9,2,71,201
17,105,24,2,69,172
12,43,13,3,47,118
21,57,11,4,81,91
15,126,9,4,39,204
17,127,15,3,52,166
13,110,23,3,23,172
8,111,13,3,74,173
16,74,9,2,100,129
13,225,24,1,85,333
11,30,23,4,52,63
9,133,7,1,82,205
19,134,17,1,27,200
18,96,18,1,27,166
17,233,16,1,43,339
13,63,6,3,88,107
14,99,25,3,35,163
17,32,6,3,31,110
6,240,8,3,46,329
12,48,17,2,68,144
14,244,16,1,36,292
12,245,19,4,8,308
20,103,14,2,83,177
14,33,13,3,60,61
7,250,18,4,10,264
15,34,5,4,67,123
16,85,10,2,60,147
16,170,23,2,27,238
12,129,6,4,26,161
24,259,6,3,51,350
13,17,15,4,38,73
12,109,5,3,7,182
16,110,16,3,54,210
21,177,16,4,32,229
16,178,22,1,12,256
6,269,9,4,11,322
25,271,19,1,68,306
14,73,7,4,82,141
23,91,21,2,30,180
11,184,15,1,38,239
14,139,13,1,41,175
16,117,21,3,57,160
17,188,14,3,62,261
8,165,13,4,74,183
24,95,6,1,14,158
26,76,16,3,68,156
16,77,25,2,96,134
15,77,17,1,74,189
12,292,9,2,87,400
9,147,7,3,38,221
7,79,15,4,66,99
13,124,18,3,95,187
5,40,5,3,14,68
12,200,10,3,25,241
12,60,21,1,80,94
10,101,19,2,84,134
6,178,12,2,52,198
21,154,12,2,1,208
23,62,5,2,86,187
18,155,8,2,67,218
13,104,18,4,21,176
16,42,25,3,81,91
18,316,7,4,97,376
9,85,15,2,93,123
25,213,21,4,36,280
8,134,11,3,47,148
13,21,10,4,7,81
15,216,17,4,47,309
15,22,12,1,59,68
12,66,9,4,84,150
17,137,17,2,4,213
14,331,5,4,73,351
12,166,10,4,30,215
20,112,7,4,39,219
19,22,25,4,87,99
19,68,6,4,49,137
12,198,16,1,89,255
14,46,10,3,4,123
