p,r,w,v,T,d
19,0,16,4,100,123
11,1,8,1,95,89
10,1,8,1,7,139
16,1,24,3,26,80
13,3,23,3,91,130
23,3,23,1,8,152
27,5,17,4,85,127
14,3,24,3,71,142
30,3,13,2,82,189
20,11,24,1,4,197
11,18,20,2,7,189
18,4,25,3,8,129
12,21,20,4,52,150
15,3,7,1,44,124
14,2,24,3,2,145
11,18,15,1,2,193
13,14,5,4,69,54
8,6,8,3,72,64
18,13,10,2,5,217
9,9,12,1,86,130
20,35,8,1,33,168
11,22,12,4,13,41
19,8,18,3,96,135
13,14,6,4,50,139
10,3,11,2,24,22
19,15,20,3,90,121
20,31,20,2,43,126
17,48,15,3,99,139
12,21,14,1,53,185
7,10,13,1,46,86
9,7,25,1,52,190
12,23,8,1,68,147
11,4,16,4,91,114
12,29,20,2,13,147
25,20,22,2,19,184
18,62,23,2,43,88
14,21,8,1,43,135
11,17,23,1,8,157
11,22,8,4,3,169
21,34,12,2,73,149
10,19,17,3,8,119
6,5,8,1,1,164
16,37,7,4,87,128
16,32,7,4,31,188
15,39,12,4,3,156
14,27,8,1,54,199
12,81,16,2,49,191
8,22,18,2,56,166
21,57,16,4,29,206
14,6,13,2,20,121
20,52,8,1,99,216
21,53,21,1,84,229
21,6,18,3,51,90
16,31,25,3,39,188
13,6,8,2,27,143
16,49,8,1,42,173
7,49,18,4,85,145
13,59,11,4,5,178
7,14,18,1,100,148
22,104,14,4,17,192
11,14,16,3,78,68
17,54,19,2,90,100
22,37,10,1,61,137
8,65,5,1,15,175
10,30,7,4,81,164
21,8,9,4,72,118
23,8,25,4,62,129
7,39,7,1,64,190
5,8,23,2,24,205
14,122,22,3,50,154
12,82,15,4,36,140
25,17,12,2,40,52
21,53,5,3,90,193
12,17,18,4,79,114
5,9,10,1,42,112
15,55,5,4,73,176
12,18,17,1,41,178
18,136,16,2,93,236
8,80,7,1,75,233
21,140,18,2,25,284
22,47,9,2,19,162
22,60,16,2,34,198
9,29,14,2,6,141
12,86,14,2,23,207
12,74,21,2,47,183
9,75,25,3,52,93
10,20,19,4,84,139
17,41,17,3,53,195
10,91,6,2,13,282
13,52,14,4,90,141
11,66,15,2,56,192
13,107,24,2,20,311
12,22,19,3,57,192
11,164,16,2,53,240
10,55,6,1,9,212
6,70,15,2,37,198
17,11,14,2,50,213
22,114,10,1,91,231
20,72,14,4,28,201
6,47,7,3,65,181
4,35,15,4,57,202
25,119,24,1,64,252
9,24,20,3,58,104
12,76,11,1,36,217
20,107,23,1,42,162
15,186,22,1,99,354
11,50,10,3,60,211
14,38,14,2,8,58
14,38,19,3,4,97
15,51,24,4,79,172
17,65,23,3,93,204
17,196,23,2,2,329
15,26,11,2,24,90
18,83,21,1,11,209
10,54,16,2,41,118
18,136,16,1,54,230
16,55,13,4,8,136
7,121,24,4,9,260
13,87,15,3,43,274
18,210,9,4,13,346
9,28,8,2,78,160
24,125,17,2,57,241
17,108,9,3,9,232
21,29,6,1,51,166
21,146,5,4,2,314
8,129,10,4,93,192
17,74,22,1,71,258
24,60,13,3,59,231
15,226,13,1,35,352
12,15,18,3,61,124
11,61,12,3,55,172
17,31,25,2,96,119
25,47,13,2,84,177
21,78,25,4,93,210
16,237,21,4,63,304
14,119,6,3,27,224
18,140,10,1,60,232
15,242,10,4,92,266
16,33,21,4,71,59
25,164,15,1,40,313
9,66,18,1,57,144
11,166,9,4,62,264
10,50,13,3,95,163
13,84,23,2,9,171
17,170,19,1,73,330
14,171,11,2,56,273
7,108,8,2,90,165
17,173,24,2,69,206
21,70,12,4,36,192
7,154,13,1,13,210
11,35,25,2,46,51
12,156,7,3,95,315
16,90,9,2,43,163
14,180,11,3,28,216
13,181,15,2,18,337
18,114,6,1,26,192
17,138,13,3,27,326
19,162,23,4,12,287
12,163,20,1,10,290
16,117,7,2,3,231
19,57,18,2,49,203
17,95,25,2,91,199
17,95,13,2,43,201
14,144,25,4,21,223
19,290,23,3,16,329
19,39,12,1,43,152
15,78,9,3,16,175
10,79,9,1,54,193
5,59,14,4,6,153
19,60,19,1,96,224
15,60,7,1,13,163
24,126,6,3,11,205
14,127,16,1,19,277
16,20,18,2,22,120
14,21,17,3,19,239
22,155,17,3,38,356
9,21,13,1,36,151
12,21,25,1,71,121
17,42,25,3,32,198
13,316,22,2,21,428
14,64,14,3,40,239
12,187,19,2,75,296
15,214,23,3,67,354
13,162,25,3,5,303
12,65,23,2,13,158
20,44,20,3,99,153
18,88,15,4,40,173
16,66,5,3,6,156
15,89,14,3,41,153
9,139,5,2,72,252
13,22,5,1,42,209
14,23,6,3,42,151
18,68,12,4,55,193
16,23,13,3,60,135
13,200,13,3,30,308
17,230,15,3,71,391
4,346,25,4,44,399
21,174,10,1,11,303
16,47,13,3,67,189
9,94,6,1,99,213
