p,r,w,v,T,d
14,0,16,11,100,119
22,1,8,4,95,101
22,1,8,11,7,153
18,1,24,8,26,82
12,3,23,7,91,130
22,3,23,13,8,153
16,5,17,10,85,118
17,3,24,14,71,147
13,3,13,5,82,174
12,11,24,5,4,191
15,18,20,2,7,195
20,4,25,14,8,133
17,21,20,1,52,157
11,3,7,3,44,121
5,2,24,3,2,138
18,18,15,5,2,202
12,14,5,10,69,54
13,6,8,6,72,69
14,13,10,9,5,215
19,9,12,8,86,142
18,36,8,10,33,169
17,22,12,14,13,47
6,8,18,12,96,123
8,14,6,14,50,136
10,3,11,6,24,22
21,15,20,8,90,124
22,31,20,11,43,129
19,48,15,11,99,142
17,21,14,14,53,192
18,10,13,3,46,98
27,7,25,2,52,210
19,23,8,11,68,155
8,4,16,4,91,112
22,30,20,12,13,159
13,20,22,10,19,174
18,63,23,9,43,89
12,21,8,10,43,134
16,18,23,2,8,164
20,23,8,10,3,181
12,35,12,12,73,142
23,19,17,11,8,133
17,5,8,6,1,177
23,38,7,5,87,136
19,32,7,9,31,193
12,39,12,6,3,155
17,27,8,14,54,204
24,82,16,14,49,205
20,22,18,12,56,180
24,57,16,9,29,210
17,6,13,10,20,125
16,52,8,6,99,214
15,53,21,9,84,224
3,6,18,1,51,73
16,32,25,5,39,191
9,6,8,3,27,140
20,49,8,9,42,178
17,50,18,12,85,157
24,60,11,8,5,191
14,14,18,12,100,157
5,106,14,12,17,178
10,14,16,8,78,68
6,55,19,11,90,91
13,37,10,12,61,129
6,66,5,11,15,175
9,31,7,14,81,165
13,8,9,8,72,111
23,8,25,4,62,130
21,40,7,12,64,207
12,8,23,10,24,215
10,123,22,10,50,151
17,84,15,3,36,148
22,17,12,8,40,49
19,54,5,8,90,193
16,17,18,1,79,119
12,9,10,7,42,120
15,56,5,14,73,179
19,18,17,7,41,187
11,138,16,8,93,232
10,81,7,9,75,238
11,141,18,9,25,277
21,48,9,2,19,163
13,60,16,5,34,190
14,29,14,12,6,147
9,87,14,1,23,207
12,75,21,6,47,185
14,76,25,3,52,99
11,21,19,4,84,142
10,42,17,1,53,191
14,92,6,2,13,289
17,53,14,10,90,147
19,67,15,7,56,203
20,109,24,10,20,322
7,22,19,6,57,189
17,166,16,3,53,249
19,56,6,7,9,224
14,71,15,12,37,208
17,11,14,12,50,215
20,116,10,11,91,233
6,73,14,3,28,189
17,47,7,7,65,194
13,36,8,1,57,214
19,121,24,4,64,249
17,24,20,8,58,113
14,77,11,6,36,221
9,109,23,3,42,153
7,188,22,10,99,350
16,51,10,14,60,219
10,38,14,2,8,54
13,39,19,5,4,97
9,52,24,13,79,168
24,66,23,11,93,214
9,199,23,10,2,325
13,27,11,7,24,90
17,84,21,10,11,210
13,54,16,7,41,122
16,137,16,5,54,230
14,55,13,6,8,135
2,122,24,13,9,257
12,88,15,7,43,276
11,213,9,9,13,343
14,29,8,6,78,167
19,126,17,13,57,238
16,109,9,9,9,234
11,29,6,8,51,158
15,148,5,14,2,311
18,131,10,1,93,205
11,75,22,7,71,255
6,61,13,14,59,216
8,229,13,11,35,349
9,15,18,12,61,123
19,62,12,9,55,182
17,31,25,1,96,120
12,47,13,13,84,165
5,79,25,11,93,197
21,240,21,13,63,313
19,121,6,2,27,233
12,142,10,1,60,229
12,245,10,8,92,266
12,33,21,8,71,55
22,166,15,11,40,313
29,67,18,13,57,166
19,168,9,11,62,275
19,51,13,14,95,174
21,85,23,7,9,181
13,172,19,13,73,330
9,173,11,6,56,271
19,109,8,6,90,179
12,175,24,13,69,203
14,71,12,5,36,188
18,156,13,11,13,224
10,36,25,7,46,51
21,158,7,10,95,328
4,91,9,9,43,153
17,183,11,11,28,223
17,184,15,13,18,346
18,116,6,2,26,195
14,140,13,5,27,327
19,164,23,8,12,290
19,165,20,5,10,301
20,119,7,5,3,239
15,57,18,9,49,201
16,96,25,1,91,200
11,97,13,3,43,198
10,146,25,14,21,222
16,294,23,3,16,330
14,39,12,6,43,148
5,79,9,12,16,167
19,80,9,4,54,204
18,60,14,4,6,168
16,60,19,8,96,223
18,61,7,4,13,168
15,128,6,5,11,198
8,128,16,8,19,274
18,21,18,10,22,124
11,21,17,13,19,239
7,157,17,13,38,345
20,21,13,8,36,164
21,21,25,1,71,131
18,42,25,6,32,201
19,320,22,14,21,439
22,64,14,9,40,249
14,189,19,10,75,302
21,217,23,2,67,365
5,164,25,1,5,299
8,66,23,14,13,156
12,44,20,6,99,146
17,89,15,10,40,173
10,67,5,7,6,152
20,90,14,14,41,160
25,141,5,12,72,271
13,23,5,6,42,212
6,23,6,7,42,145
12,69,12,5,55,190
11,23,13,7,60,132
10,203,13,9,30,309
12,233,15,8,71,391
13,351,25,7,44,414
17,176,10,5,11,302
17,47,13,2,67,192
19,95,6,12,99,225
