p,r,w,v,T,d
21,0,7,4,3,134
30,2,22,3,16,85
16,4,21,4,48,112
14,3,5,3,50,53
19,1,21,2,71,150
14,9,7,4,83,95
17,7,19,1,58,36
7,11,18,2,54,198
13,9,9,2,3,127
22,3,17,2,22,44
15,16,11,2,17,106
17,15,24,2,6,124
24,19,23,2,58,98
20,5,17,4,30,121
20,10,14,1,64,153
15,8,9,3,23,147
12,12,22,4,75,156
17,6,9,2,44,159
12,21,25,2,33,159
14,35,23,2,42,238
12,23,24,1,23,154
19,15,22,2,70,76
2,4,25,1,49,162
14,42,5,4,80,182
14,33,7,1,34,144
15,5,19,1,35,176
12,71,21,4,34,122
13,74,12,1,47,152
17,38,17,4,16,176
18,11,10,1,2,104
16,16,20,1,68,171
15,17,6,1,78,145
11,44,25,4,66,182
17,18,16,2,34,158
24,93,8,1,67,272
14,64,18,4,58,196
15,66,20,3,4,155
18,59,12,4,63,270
16,104,14,1,6,247
10,14,19,2,17,168
18,15,23,4,99,185
24,47,19,2,92,173
6,57,17,4,45,234
11,8,25,2,78,68
10,50,8,3,39,205
16,33,8,3,35,107
15,25,20,1,29,217
16,64,22,1,3,155
18,77,16,2,13,241
12,27,13,3,28,99
23,80,13,2,75,201
17,140,11,1,59,167
12,47,18,3,61,108
11,145,12,3,82,222
19,20,9,4,96,171
24,10,20,3,20,181
17,51,21,4,55,163
15,52,6,3,40,204
12,79,18,2,94,169
18,161,9,2,51,348
14,82,7,2,29,250
16,11,9,1,17,222
17,34,25,1,85,140
19,72,24,4,32,211
23,175,6,3,61,293
2,178,21,1,54,315
15,120,21,3,21,257
18,12,16,2,10,157
22,62,13,4,5,226
13,94,16,3,59,296
22,64,24,4,42,200
14,52,25,2,78,183
17,197,22,1,46,347
17,83,19,3,27,204
7,54,15,1,53,250
17,85,24,1,71,108
11,121,21,2,7,279
11,56,21,3,61,187
18,14,14,3,13,68
17,216,15,3,37,243
16,128,21,4,36,313
13,74,15,1,79,240
8,30,16,2,95,64
20,45,21,3,38,204
11,153,5,3,26,266
19,155,7,2,28,230
10,118,20,1,85,163
19,139,15,3,74,249
16,48,13,2,90,111
10,162,21,4,98,201
11,49,11,3,22,133
12,66,10,3,92,210
22,168,10,1,63,200
15,170,16,2,22,228
22,51,18,3,36,207
15,69,17,4,93,108
14,263,22,2,29,340
12,133,17,1,97,230
15,72,17,3,3,244
19,54,10,4,27,238
3,137,5,2,48,249
18,74,11,2,65,209
22,163,21,1,17,324
8,188,17,1,31,347
19,76,20,3,75,111
13,192,15,3,59,386
24,97,19,1,78,263
12,122,23,2,12,232
18,79,23,1,46,232
14,149,9,3,89,372
18,150,6,4,97,255
10,40,17,4,72,184
13,102,8,2,59,281
17,41,24,2,40,174
13,83,14,3,91,255
19,157,6,1,25,344
21,132,14,4,25,294
10,107,25,2,25,316
19,43,22,3,29,110
1,136,6,4,30,288
14,109,20,3,56,257
18,88,23,4,59,148
9,195,7,3,73,306
10,22,25,1,35,120
15,226,22,3,6,431
21,228,5,2,94,411
23,69,10,3,85,265
13,347,17,2,95,450
17,93,16,1,81,222
24,147,15,4,32,256
14,207,17,2,52,344
23,72,21,4,89,105
7,48,15,1,83,149
17,24,23,2,63,175
12,73,25,4,54,219
1,123,16,3,12,226
12,186,6,3,36,341
16,250,13,2,26,331
11,220,12,2,35,302
16,380,15,2,1,508
11,77,15,4,99,196
12,26,19,2,83,135
18,162,20,1,50,319
23,391,23,2,96,546
8,26,24,4,84,70
18,106,12,2,33,303
7,133,9,1,86,253
14,107,24,1,92,171
12,169,25,1,82,187
18,136,6,3,100,302
11,27,19,2,91,147
8,28,17,3,88,132
14,28,9,1,70,90
18,28,10,4,17,190
19,246,8,1,69,305
22,212,11,2,54,381
13,57,8,3,5,184
6,251,9,1,68,468
9,216,15,1,70,343
18,181,9,1,96,239
13,182,15,2,89,277
17,220,12,2,18,325
8,118,8,1,24,182
7,89,5,4,45,190
12,30,22,4,43,159
16,60,16,1,21,131
20,151,14,3,55,327
19,457,23,1,84,626
17,61,22,3,40,206
19,193,20,2,90,368
19,271,7,1,76,419
12,156,8,3,39,336
13,471,5,4,88,577
22,126,14,4,35,287
18,63,9,1,58,125
20,96,14,2,99,239
26,161,24,3,81,316
8,32,18,4,27,159
9,32,14,3,59,192
13,163,7,3,50,302
17,328,6,3,71,445
9,99,11,3,86,236
21,290,19,1,64,319
15,67,7,4,39,176
13,34,22,1,18,158
18,253,11,4,98,342
21,136,11,3,89,280
27,68,17,4,96,283
16,514,16,4,41,618
15,172,8,2,60,284
13,303,20,4,95,484
19,105,14,4,62,173
18,175,10,1,55,290
11,70,20,4,79,118
21,354,25,1,68,513
12,311,20,3,16,401
8,268,6,2,60,431
13,36,9,4,42,177
12,72,17,2,49,224
15,227,22,3,57,349
