p,r,w,v,T,d
17,0,7,3,130,82
11,1,15,3,95,98
12,1,7,3,151,144
13,1,14,4,115,221
12,4,11,1,85,201
22,2,20,4,80,166
12,1,10,2,72,99
13,7,9,3,91,79
14,2,19,4,122,93
19,3,6,1,125,180
12,3,9,2,58,221
20,10,25,4,122,153
14,9,12,1,141,85
4,11,5,3,118,89
16,10,19,4,128,156
12,11,8,1,127,138
14,7,14,2,106,83
11,6,23,3,104,103
9,10,20,4,93,104
18,17,8,4,85,147
17,5,11,4,99,112
13,15,11,4,101,102
17,22,7,1,141,198
13,5,10,4,81,59
18,42,7,3,73,233
18,6,11,4,75,157
17,45,9,3,99,142
23,20,23,3,165,112
9,32,8,4,122,116
21,34,17,2,92,213
17,14,20,3,106,169
9,22,25,1,120,158
18,19,8,1,72,44
16,4,12,4,97,191
16,16,12,4,164,232
19,35,25,1,84,181
20,31,12,2,122,125
13,32,21,2,104,64
11,13,7,3,145,97
16,9,9,3,148,134
8,5,13,3,85,26
13,5,11,1,45,134
10,15,17,4,117,115
12,31,8,1,105,114
18,76,13,3,38,218
21,39,12,2,127,98
18,40,19,1,125,185
19,5,11,1,172,147
16,11,15,1,140,145
14,35,8,3,123,113
14,23,24,4,99,73
7,59,12,2,142,184
22,90,7,1,90,168
15,18,21,1,104,115
26,31,6,3,104,114
11,48,18,4,87,155
15,57,9,2,50,213
10,33,8,4,90,198
25,20,10,2,148,163
6,34,19,4,110,153
13,7,14,1,94,160
11,53,6,2,29,129
12,72,11,2,91,167
20,15,19,3,120,142
14,46,8,1,125,225
11,30,21,1,78,134
12,67,24,2,120,204
20,116,5,2,115,192
19,118,21,2,95,232
17,8,16,2,111,127
17,8,22,4,132,140
11,82,16,1,35,234
27,8,20,3,100,176
8,74,12,3,72,149
13,86,21,4,84,154
11,35,11,3,56,206
22,18,15,2,99,102
21,27,5,2,102,121
16,18,25,3,43,143
7,91,15,2,110,132
14,69,25,4,71,117
12,47,15,4,108,191
17,19,10,1,147,168
18,29,6,1,92,110
13,73,14,1,106,259
16,10,7,4,79,143
11,40,22,2,116,121
17,40,14,1,72,128
17,31,11,4,67,101
14,10,7,3,120,35
16,52,16,1,110,189
16,79,23,1,64,222
22,93,25,2,89,268
14,67,11,2,119,187
8,109,23,2,104,190
10,55,22,3,119,199
10,167,24,1,130,296
17,22,25,4,108,145
18,57,7,2,56,111
15,72,7,3,173,123
12,72,22,4,121,146
11,23,16,4,182,86
13,177,8,2,98,318
8,60,25,2,57,165
20,24,24,2,82,142
15,91,9,4,103,208
21,184,19,4,96,392
11,62,22,4,73,213
17,38,6,3,68,192
20,63,15,1,96,201
19,96,22,4,122,263
12,80,15,3,105,210
11,97,10,4,80,239
20,131,7,2,49,249
3,40,10,1,99,146
14,67,5,1,156,118
17,201,8,1,119,347
16,135,24,3,119,267
17,137,11,1,85,265
18,103,8,4,96,215
22,208,22,3,56,339
22,105,12,3,62,192
15,14,13,2,121,56
15,214,12,3,118,370
15,144,18,2,122,297
5,145,18,2,122,281
13,29,14,1,112,95
18,29,10,4,108,181
16,74,8,3,69,226
17,60,15,4,152,219
7,45,7,3,130,92
12,133,17,4,147,274
24,229,12,4,79,375
13,77,8,4,89,168
19,155,14,2,125,317
14,16,5,3,69,136
16,98,10,3,117,242
9,238,16,4,58,316
17,120,18,4,155,143
27,161,10,4,82,306
15,49,18,4,120,100
15,82,9,2,76,303
22,16,17,3,134,106
12,166,16,1,110,354
13,67,10,2,128,208
13,252,12,2,126,337
19,51,9,1,92,177
12,34,9,1,68,191
20,34,15,2,131,125
18,259,19,2,89,326
7,152,8,1,117,273
21,262,15,1,146,379
15,88,16,1,79,260
13,53,6,3,91,224
5,71,23,3,149,228
11,90,10,4,124,161
13,158,19,3,126,348
13,114,14,1,91,297
13,73,24,2,129,243
9,184,15,4,84,347
15,185,5,1,71,216
11,93,23,1,107,199
17,164,25,2,39,187
7,189,17,4,63,387
11,19,10,3,49,134
18,57,24,4,64,156
11,288,17,2,49,406
18,169,21,2,116,239
15,58,21,2,129,98
10,20,24,2,66,37
22,295,5,4,75,425
13,79,22,1,80,166
13,20,18,1,62,184
11,20,25,3,142,158
16,126,12,3,123,323
15,41,14,4,95,181
17,102,14,3,89,126
15,179,8,2,92,225
18,309,10,1,105,337
2,155,7,3,107,220
12,21,17,4,61,158
19,84,7,3,114,208
12,184,12,4,72,260
12,42,19,1,107,143
13,21,7,2,87,68
18,86,6,1,107,290
9,65,18,3,83,178
15,43,5,4,81,159
11,65,12,4,65,204
10,88,16,1,66,177
16,193,19,3,80,380
3,138,15,1,103,295
11,89,18,2,105,220
15,223,7,4,97,343
9,22,15,2,75,135
7,90,20,2,72,200
9,199,12,1,53,321
9,143,23,4,111,246
9,143,24,2,61,201
18,144,7,2,153,246
