p,r,w,v,T,d
15,0,16,0,100,125
20,1,8,0,95,103
15,1,8,2,7,152
20,1,24,3,26,88
17,3,23,2,91,141
10,3,23,3,8,147
10,6,17,2,85,117
15,4,24,0,71,152
19,3,13,2,82,187
15,11,24,1,4,202
16,19,20,2,7,205
20,4,25,4,8,138
16,23,20,0,52,164
15,3,7,1,44,130
18,2,24,1,2,157
20,19,15,0,2,213
15,15,5,2,69,59
11,6,8,0,72,70
17,14,10,1,5,228
15,10,12,1,86,144
19,38,8,0,33,177
24,23,12,4,13,55
17,8,18,1,96,139
22,14,6,2,50,155
11,3,11,2,24,23
16,16,20,2,90,124
21,33,20,1,43,133
23,51,15,2,99,153
14,22,14,2,53,198
20,11,13,1,46,104
14,8,25,2,52,206
17,24,8,1,68,160
12,4,16,4,91,121
11,31,20,1,13,155
21,21,22,2,19,190
14,66,23,1,43,88
8,23,8,2,43,137
8,19,23,0,8,164
16,24,8,1,3,185
21,37,12,3,73,158
8,20,17,2,8,123
10,5,8,3,1,177
26,39,7,0,87,144
17,34,7,4,31,200
10,41,12,0,3,160
21,28,8,1,54,217
17,86,16,1,49,207
15,24,18,2,56,183
18,60,16,2,29,213
17,6,13,5,20,130
9,55,8,1,99,217
11,56,21,2,84,231
13,7,18,1,51,87
16,33,25,1,39,199
16,7,8,1,27,154
14,52,8,0,42,180
10,53,18,1,85,158
8,62,11,2,5,183
11,15,18,2,100,161
11,111,14,3,17,192
6,15,16,1,78,67
15,57,19,3,90,103
17,39,10,0,61,139
12,69,5,2,15,189
14,32,7,1,81,177
19,8,9,2,72,121
19,8,25,1,62,131
15,42,7,2,64,210
19,9,23,1,24,232
15,129,22,0,50,163
19,88,15,0,36,156
19,18,12,4,40,47
18,56,5,1,90,200
15,18,18,5,79,123
24,9,10,0,42,137
17,59,5,4,73,189
18,19,17,1,41,194
18,144,16,0,93,249
28,85,7,4,75,267
19,148,18,0,25,298
16,50,9,1,19,165
19,63,16,2,34,205
12,31,14,4,6,152
12,91,14,1,23,219
18,79,21,1,47,200
17,80,25,3,52,107
14,22,19,2,84,151
22,44,17,1,53,212
13,96,6,0,13,301
17,56,14,3,90,154
13,70,15,1,56,205
19,114,24,1,20,335
20,23,19,0,57,210
14,174,16,1,53,257
15,59,6,0,9,230
14,74,15,2,37,217
26,12,14,0,50,234
17,121,10,3,91,239
17,77,14,0,28,210
19,50,7,4,65,205
19,38,8,0,57,230
15,126,24,1,64,256
14,26,20,1,58,116
19,81,11,0,36,237
15,114,23,0,42,166
20,197,22,0,99,380
16,53,10,2,60,228
8,40,14,6,8,54
3,41,19,1,4,91
14,55,24,0,79,182
23,69,23,3,93,222
9,208,23,3,2,340
9,28,11,1,24,90
20,88,21,2,11,223
23,57,16,1,41,137
13,144,16,1,54,237
15,58,13,2,8,142
18,128,24,1,9,286
10,92,15,2,43,286
19,223,9,4,13,367
14,30,8,2,78,174
13,132,17,1,57,242
11,114,9,2,9,239
7,31,6,1,51,162
20,155,5,4,2,331
16,137,10,1,93,212
9,79,22,2,71,265
13,64,13,4,59,233
14,240,13,0,35,372
20,16,18,0,61,139
20,65,12,2,55,191
12,33,25,2,96,120
6,50,13,1,84,167
19,83,25,0,93,220
16,251,21,2,63,321
22,127,6,4,27,246
16,149,10,2,60,243
17,257,10,0,92,283
14,35,21,0,71,59
19,174,15,2,40,324
13,70,18,4,57,156
14,176,9,0,62,282
21,53,13,1,95,183
15,89,23,4,9,182
21,180,19,1,73,353
17,181,11,1,56,292
25,114,8,3,90,192
12,184,24,3,69,213
19,74,12,2,36,201
16,163,13,4,13,231
17,38,25,3,46,60
15,165,7,1,95,336
20,95,9,1,43,176
19,191,11,3,28,234
19,193,15,2,18,364
4,121,6,2,26,189
13,146,13,2,27,341
14,172,23,0,12,299
14,173,20,4,10,309
15,124,7,2,3,243
16,60,18,0,49,211
10,101,25,2,91,203
21,101,13,2,43,216
16,153,25,4,21,238
18,308,23,1,16,347
10,41,12,1,43,151
20,83,9,4,16,190
16,84,9,0,54,210
12,63,14,2,6,169
9,63,19,2,96,226
13,64,7,0,13,171
9,134,6,2,11,201
18,134,16,2,19,296
10,22,18,0,22,121
21,22,17,2,19,260
18,164,17,2,38,372
15,22,13,2,36,165
11,22,25,4,71,126
11,45,25,1,32,204
17,336,22,1,21,458
9,68,14,2,40,248
19,198,19,0,75,320
16,228,23,3,67,377
7,172,25,1,5,315
14,69,23,5,13,169
20,46,20,3,99,160
19,93,15,1,40,183
17,70,5,0,6,166
22,94,14,3,41,168
11,148,5,3,72,269
11,24,5,1,42,219
9,24,6,2,42,154
18,72,12,3,55,204
17,24,13,0,60,143
18,212,13,2,30,331
9,244,15,3,71,406
15,368,25,1,44,435
27,185,10,1,11,327
12,50,13,2,67,196
17,100,6,0,99,234
