p,r,w,v,T,d
20,0,9,3,74,87
13,0,6,1,100,27
12,0,23,3,54,76
21,0,7,2,46,89
12,0,8,4,11,51
8,2,12,4,51,201
14,2,25,1,45,193
18,3,20,3,83,132
17,4,13,1,34,56
23,1,24,1,62,116
12,2,18,4,93,131
14,3,21,3,57,195
15,6,24,4,72,107
17,2,7,1,10,62
3,6,18,2,26,158
13,14,7,4,52,138
11,15,21,4,35,121
22,3,6,1,94,147
15,2,11,2,56,105
12,4,7,3,1,146
7,11,7,2,98,141
2,19,20,2,58,209
16,1,25,3,64,73
10,4,7,2,89,180
18,1,20,4,19,124
13,3,13,2,16,131
17,6,5,2,32,193
13,7,18,1,44,212
9,2,13,2,32,190
23,16,15,4,12,191
15,14,12,4,93,102
21,19,19,2,77,171
7,15,22,2,86,157
11,2,16,1,98,91
22,6,8,3,43,127
18,16,25,2,91,150
19,22,16,4,34,176
16,7,15,1,42,63
18,9,19,4,64,125
13,36,19,3,75,194
16,15,7,2,66,173
9,10,19,1,10,196
20,26,20,3,3,153
16,23,16,1,95,173
13,27,9,2,79,65
19,14,20,4,40,177
11,11,18,1,12,109
25,15,21,1,9,127
10,9,24,2,87,130
16,9,17,1,30,170
18,12,6,4,1,175
10,47,14,2,52,180
16,20,5,3,19,185
10,10,21,1,23,139
17,7,8,1,25,136
18,17,15,3,14,169
19,30,10,3,5,153
11,11,25,4,37,83
13,11,5,3,63,152
9,7,10,2,55,129
18,32,5,2,57,115
18,15,13,2,22,235
18,11,8,4,19,149
22,24,17,3,59,57
12,30,18,4,66,156
5,40,16,1,39,209
12,41,21,2,88,188
23,62,18,4,18,203
19,63,16,2,26,240
16,43,11,1,70,187
14,32,5,4,63,127
22,33,9,3,64,187
17,18,21,4,1,181
13,23,20,4,48,97
10,29,9,1,2,107
25,70,24,1,93,189
19,29,19,1,41,167
24,19,23,2,20,138
8,19,14,3,45,150
9,10,22,1,67,68
15,10,21,1,77,139
7,75,13,4,7,111
16,5,16,2,46,56
19,10,22,4,48,133
18,26,10,1,30,50
14,26,25,2,59,114
22,5,8,4,19,138
15,11,5,4,26,69
14,27,7,3,98,162
5,48,13,1,68,76
19,35,9,3,92,229
17,42,13,1,51,112
20,28,6,2,26,175
15,11,5,3,15,32
20,6,25,1,84,92
22,6,22,2,63,120
12,6,11,2,79,214
15,30,13,1,89,171
15,38,16,2,42,85
10,38,18,3,48,185
22,6,25,2,81,212
11,25,14,4,26,120
13,39,22,3,8,234
14,19,23,2,32,138
20,6,10,4,23,115
17,57,17,2,56,260
17,7,5,1,65,238
5,58,19,4,50,109
15,58,10,2,36,184
16,7,16,4,20,116
17,60,6,1,32,250
18,51,6,3,63,256
13,14,6,4,1,97
16,70,19,3,63,92
19,70,6,3,14,262
23,21,18,4,96,204
15,72,17,2,19,282
24,14,10,3,57,95
14,29,10,1,78,147
23,37,23,2,73,181
10,65,13,2,57,129
30,47,21,3,59,202
19,75,9,4,71,179
12,57,24,2,69,177
15,23,13,4,47,175
13,31,11,3,81,73
10,68,9,1,39,216
20,69,15,2,52,137
21,59,23,4,23,185
17,60,13,3,74,194
20,40,9,2,100,146
23,121,24,4,85,350
21,16,23,2,52,85
15,72,7,1,82,224
12,72,17,1,27,187
20,52,18,4,27,184
14,126,16,4,43,334
16,34,6,4,88,117
14,53,25,3,35,177
11,17,6,2,31,160
21,130,8,4,46,331
19,26,17,2,68,227
14,132,16,2,36,219
10,133,19,3,8,255
16,56,14,4,83,190
25,18,13,4,60,73
18,135,18,4,10,160
9,18,5,4,67,187
12,46,10,1,60,159
16,92,23,4,27,221
14,70,6,2,26,128
16,140,6,4,51,302
10,9,15,2,38,113
7,59,5,4,7,199
20,60,16,3,54,262
24,96,16,3,32,188
21,96,22,1,12,252
23,146,9,1,11,272
13,147,19,4,68,182
25,39,7,2,82,182
14,49,21,1,30,206
19,100,15,2,38,214
11,75,13,2,41,134
23,63,21,4,57,144
20,101,14,1,62,243
21,89,13,2,74,132
14,51,6,4,14,149
19,41,16,4,68,177
14,42,25,4,96,144
10,42,17,4,74,261
18,158,9,3,87,385
16,79,7,4,38,236
12,43,15,1,66,84
20,67,18,3,95,196
12,22,5,3,14,85
11,108,10,2,25,181
19,33,21,1,80,101
10,55,19,3,84,115
14,96,12,2,52,141
14,83,12,2,1,170
11,33,5,4,86,264
10,84,8,2,67,193
22,56,18,4,21,206
9,23,25,4,81,103
8,171,7,1,97,270
9,46,15,2,93,118
24,115,21,1,36,231
7,72,11,4,47,85
12,12,10,3,7,125
15,117,17,4,47,302
15,12,12,4,59,94
20,35,9,2,84,211
12,74,17,3,4,215
14,179,5,2,73,207
11,90,10,3,30,181
19,60,7,4,39,268
14,12,25,2,87,151
11,37,6,4,49,156
16,107,16,4,89,221
13,25,10,2,4,174
