p,r,w,v,T,d
13,0,16,10,21,122
13,0,7,7,54,79
13,1,9,7,52,192
17,1,18,5,44,27
12,1,16,3,95,43
11,1,13,11,59,107
23,2,24,10,89,44
19,1,6,6,83,177
19,6,18,13,26,217
7,5,19,7,76,117
20,1,16,1,21,194
19,3,23,8,95,66
17,12,20,2,5,52
17,6,13,12,33,114
20,8,8,10,40,140
19,13,20,2,29,135
17,28,8,9,80,189
15,12,18,7,67,80
21,10,12,12,7,122
21,11,18,11,76,224
17,17,11,9,25,106
15,36,10,7,16,160
23,16,15,1,87,136
17,17,6,11,83,206
14,14,17,1,63,172
16,25,17,14,55,127
10,12,12,8,94,78
16,47,18,1,34,198
21,13,24,5,16,162
6,50,19,1,51,182
15,10,11,12,97,59
15,18,11,10,65,157
16,56,17,1,36,173
17,24,12,12,87,184
19,25,17,2,55,173
10,8,24,13,94,105
20,26,20,7,99,91
4,17,22,9,64,114
17,4,15,9,54,215
14,45,13,3,72,132
10,19,17,5,54,131
12,19,18,14,10,118
19,30,6,14,38,163
23,25,22,1,2,99
18,45,11,11,92,146
11,46,24,7,73,119
11,53,6,11,73,125
15,11,16,13,92,176
8,17,25,6,59,121
14,57,16,1,72,165
17,58,10,6,7,178
20,30,22,5,14,181
13,38,7,14,35,89
18,12,19,4,98,186
18,63,8,10,70,191
10,96,8,5,1,193
10,19,10,5,69,161
21,7,8,14,48,120
20,7,22,10,4,138
18,27,24,1,8,100
9,104,17,11,26,240
9,28,13,12,63,186
12,7,5,4,86,120
9,7,15,4,55,140
17,74,19,11,13,152
19,75,20,12,17,204
16,76,15,4,5,130
13,68,14,7,34,124
15,39,22,8,32,139
10,60,23,11,29,174
25,71,5,2,61,149
22,72,6,11,76,198
17,63,21,5,37,202
13,63,9,4,39,192
19,17,10,1,92,189
18,17,17,8,26,115
15,18,13,1,31,83
12,18,12,8,43,95
3,90,18,11,86,151
16,46,7,4,33,140
17,28,21,3,13,128
12,9,14,9,14,132
19,142,25,6,34,282
7,29,20,1,88,106
9,97,21,6,85,210
19,62,14,2,97,227
6,62,20,14,42,169
14,40,25,10,90,161
11,153,5,14,41,195
16,10,14,12,42,154
10,52,23,13,86,159
15,66,7,12,18,113
17,32,17,11,42,154
14,32,25,8,94,200
23,95,23,8,87,172
15,83,10,13,98,198
18,69,11,12,29,210
21,45,18,2,33,118
13,170,8,9,4,224
14,23,15,7,33,113
11,101,6,10,82,253
12,23,17,9,11,164
3,118,10,7,81,130
9,48,5,1,68,155
8,90,9,3,25,179
16,91,16,3,42,234
12,107,5,8,42,233
10,124,12,12,74,206
13,25,14,3,55,99
7,79,6,5,11,198
13,80,15,10,73,113
11,51,11,10,29,69
13,13,23,14,83,133
22,114,5,6,21,311
18,13,12,14,58,126
20,13,15,5,25,105
15,27,10,2,79,112
21,102,8,3,28,252
15,120,11,8,48,220
4,14,9,1,71,121
13,208,21,6,68,276
9,210,20,5,23,330
16,212,17,10,99,238
16,57,9,9,14,112
19,90,22,13,90,237
16,90,6,9,23,243
10,146,15,9,71,291
9,44,24,3,22,157
16,222,12,4,96,373
7,60,25,12,62,152
18,75,16,6,38,191
12,61,19,12,17,169
14,15,5,2,56,49
16,77,15,10,60,157
10,47,20,5,58,132
20,117,23,4,73,208
18,47,15,3,11,179
7,48,8,5,26,119
13,140,13,2,85,251
20,241,20,1,92,294
21,122,19,9,39,248
10,245,17,14,14,377
18,247,14,1,20,403
12,83,14,11,78,172
13,125,23,8,78,257
12,34,17,13,93,128
19,34,24,11,96,152
12,85,18,8,16,205
12,257,12,11,27,373
14,151,17,2,13,318
8,17,10,3,51,133
11,70,19,1,87,202
6,264,24,3,54,385
7,155,25,4,95,280
24,178,14,1,14,304
14,269,24,13,31,400
24,135,5,13,70,236
14,114,21,3,100,246
7,73,19,6,54,105
17,55,22,5,73,250
11,162,7,6,29,282
12,117,8,5,16,214
18,56,24,2,51,186
12,19,23,8,89,112
7,142,12,12,65,263
6,76,19,4,29,202
14,144,18,7,15,259
21,193,13,12,64,357
13,146,7,1,80,259
8,39,22,3,91,159
12,172,19,3,85,272
26,79,25,1,14,223
18,20,8,2,25,98
2,40,20,4,91,90
13,151,7,6,12,291
8,304,19,7,28,411
12,102,21,12,80,159
10,128,7,6,43,264
13,21,10,2,27,139
22,155,22,10,24,373
13,104,13,14,21,271
19,210,13,6,65,341
17,211,25,9,48,255
4,159,18,6,96,253
15,43,15,10,11,126
14,214,17,5,4,334
15,65,17,7,49,184
16,189,9,6,91,276
16,190,7,9,87,256
11,44,23,6,74,129
13,138,24,7,47,255
27,111,11,11,4,265
16,22,7,10,15,131
12,112,5,13,77,243
27,22,23,8,57,154
13,169,15,9,44,231
13,68,19,2,30,174
17,200,10,14,32,352
20,201,23,10,82,357
12,115,13,8,59,303
